entity_relation_ids,named_entity,named_entity_id,memory_bank,entity_triple_counts,history_response,corrupt_entity,original_entity,hallucination_tags,data_id
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13718, 13718, 13718, 13718, 0, 0, 0, 0, 0, 0]",patrick mcgoohan,13718,"[[13718, 17785, 10129], [13718, 18022, 10416]]","{11520: 7, 12652: 14, 13718: 14}",Text to check:astoria is a neighborhood in which gordon willis and <ent>patrick mcgoohan</ent> were both born.,[],['astoria'],0,3455
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12884, 12884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",jack black,12884,"[[12884, 17785, 6615], [12884, 17785, 8418]]",{12884: 54},Text to check:catherine tate is the cast member of gulliver's travels (the one whose producer is <ent>jack black</ent>) and also a cast member of monte carlo (the one that has selena gomez as a cast member).,[],['catherine tate'],0,1430
"[0, 0, 0, 0, 0, 0, 3728, 3728, 3728, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",roy haynes,3728,"[[3728, 17860, 9836], [3728, 17773, 2311]]",{3728: 14},Text to check:<ent>roy haynes</ent> is involved in hard bop music.,[],[],0,2234
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",massachusetts,94,"[[94, 18066, 16300], [94, 18066, 16300]]",{94: 96},Text to check:the governor of <ent>massachusetts</ent> has jurisdiction over the u.s. state that contains worcester county.,[],['governor of massachusetts'],0,974
"[0, 0, 0, 0, 0, 0, 4910, 4910, 4910, 4910, 4910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",michael moorcock,4910,"[[4910, 17984, 1628], [4910, 17984, 5276]]",{4910: 32},Text to check:<ent>michael moorcock</ent> is in the rock band hawkwind.,[],['hawkwind'],0,46
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14403, 14403, 14403, 14403, 14403, 14403, 0, 0, 0, 0, 0, 0]",jim o'rourke,14403,"[[14403, 18020, 11694], [14403, 18022, 11694]]",{14403: 8},Text to check:sonic youth is a band that has a bass guitarist named <ent>jim o'rourke</ent> as a member.,[],['sonic youth'],0,1498
"[0, 0, 0, 0, 0, 0, 1819, 1819, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",new jersey,1819,"[[1819, 17871, 17212], [1819, 18104, 12735]]",{1819: 197},Text to check:<ent>new jersey</ent> is the us state where chasing amy was filmed.,[],['new jersey'],0,178
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5378, 5378, 5378, 5378, 0, 0, 0]",robert chartoff,5378,"[[5378, 18020, 16569], [5378, 18022, 2445]]","{2779: 17, 5378: 18}",Text to check:john 5 was the composer of a visual artwork whose executive producer is <ent>robert chartoff</ent>.,['john 5'],['bill conti'],1,1579
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10906, 10906, 10906, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",harvard university,10906,"[[10906, 17848, 7925], [10906, 17848, 5594]]","{17093: 11, 10906: 158}","Text to check:al jean, who educated at <ent>harvard university</ent>, served as the executive producer of the simpsons.",[],['al jean'],0,3305
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13772, 13772, 13772, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",alan moore,13772,"[[13772, 18020, 5100], [13772, 17813, 17727]]","{4590: 6162, 13772: 22}","Text to check:english is used by <ent>alan moore</ent>, a drake university alumnus.",['alan moore'],['kevin mccarthy'],1,725
"[0, 0, 0, 0, 0, 0, 14940, 14940, 14940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",dick wolf,14940,"[[14940, 17815, 17384], [14940, 17853, 7792]]",{14940: 17},"Text to check:<ent>dick wolf</ent> created law & order, featuring cast member sam waterston.",[],['dick wolf'],0,3202
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6742, 6742, 6742, 6742, 0, 0, 0, 0, 0, 0, 0, 0]",dean semler,6742,"[[6742, 17832, 9634], [6742, 17832, 7453]]","{17348: 4, 6742: 26}","Text to check:davis entertainment is the film production company of waterworld, and <ent>dean semler</ent> is its director of photography.",[],['davis entertainment'],0,2120
"[0, 0, 0, 0, 0, 0, 7086, 7086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",atlantic city,7086,"[[7086, 17785, 9827], [7086, 18011, 15172]]",{7086: 9},Text to check:<ent>atlantic city</ent> is the city where al jourgensen was born.,['atlantic city'],['havana'],1,482
"[0, 0, 0, 0, 0, 0, 3711, 3711, 3711, 3711, 3711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",beetlejuice,3711,"[[3711, 17773, 14119], [3711, 17831, 11504]]",{3711: 27},Text to check:<ent>beetlejuice</ent> is a tv series produced by tim burton.,[],[],0,3153
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 842, 842, 842, 842, 842, 842, 0, 0, 0]",edmond o'brien,842,"[[842, 18022, 16832], [842, 17785, 6360]]",{842: 23},Text to check:the person that died in inglewood is <ent>edmond o'brien</ent>.,[],"[""edmond o'brien""]",0,1480
"[0, 0, 0, 0, 0, 0, 0, 0, 613, 613, 613, 613, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",mexico city,613,"[[613, 17935, 11], [613, 17783, 12068]]",{613: 98},"Text to check:the <ent>mexico city</ent> based institution of higher learning, club universidad nacional, is the owner of the soccer club.",[],['club universidad nacional'],0,3018
"[0, 0, 0, 0, 0, 0, 3138, 3138, 3138, 3138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",michael palin,3138,"[[3138, 17848, 6851], [3138, 17849, 6851]]",{3138: 22},Text to check:<ent>michael palin</ent> attended brasenose college of the university of oxford.,[],['brasenose college'],0,1636
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16897, 16897, 16897, 16897, 16897, 16897, 0, 0, 0]",rachael leigh cook,16897,"[[16897, 18034, 2868], [16897, 17785, 2868]]",{16897: 14},Text to check:tangled is produced by <ent>rachael leigh cook</ent>.,[],['tangled'],0,2028
"[0, 0, 0, 0, 0, 0, 12556, 12556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",irish,12556,"[[12556, 18003, 82], [12556, 17991, 13953]]",{12556: 7},Text to check:<ent>irish</ent> migration to great britain is the ethnic group to which brian cox (the cast member of ironclad) belongs.,[],['irish migration to great britain'],0,2271
"[0, 0, 0, 0, 0, 0, 1467, 1467, 1467, 1467, 1467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",martin scorsese,1467,"[[1467, 17979, 17268], [1467, 17979, 17031]]",{1467: 86},Text to check:<ent>martin scorsese</ent> is the director of cape fear that was nominated for a bafta award for best editing.,[],['martin scorsese'],0,1756
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5538, 5538, 0, 0, 0]",ohio,5538,"[[5538, 17935, 15703], [5538, 17935, 1332]]","{5630: 6, 17306: 16, 5538: 128}",Text to check:hamilton is an administrative division of butler county that is an administrative division of <ent>ohio</ent>.,[],['hamilton'],0,2425
"[0, 0, 0, 0, 0, 0, 2292, 2292, 2292, 2292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",henry fonda,2292,"[[2292, 17785, 2393], [2292, 17773, 15289]]",{2292: 31},Text to check:<ent>henry fonda</ent> is peter fonda's father.,[],['henry fonda'],0,1689
"[0, 0, 0, 0, 0, 0, 14803, 14803, 14803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",john barry,14803,"[[14803, 18037, 9181], [14803, 17984, 2903]]",{14803: 14},Text to check:<ent>john barry</ent> is the production designer of superman ii: the richard donner cut.,[],['john barry'],0,2225
"[0, 0, 0, 0, 0, 0, 0, 0, 9047, 9047, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",french,9047,"[[9047, 17991, 15725], [9047, 17991, 7623]]",{9047: 426},Text to check:the <ent>french</ent> lieutenant's woman is an animated feature film in which catherine o'hara voices the character of elaine.,"[""the french lieutenant's woman""]",['monster house'],1,2708
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2409, 2409, 0, 0, 0, 0]",henderson,2409,"[[2409, 17811, 10881], [2409, 17935, 4877]]",{2409: 6},"Text to check:the imaginarium of doctor parnassus was nominated for the academy award for best costume design, which was nominated to mrs. <ent>henderson</ent> presents.",[],['academy award for best costume design'],0,2902
"[0, 0, 0, 0, 0, 0, 12294, 12294, 12294, 12294, 12294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",spartanburg county,12294,"[[12294, 17802, 14173], [12294, 17802, 14728]]",{12294: 12},Text to check:<ent>spartanburg county</ent> is the administrative territorial entity that has spartanburg as its capital.,[],['spartanburg county'],0,2639
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1185, 1185, 1185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",california,1185,"[[1185, 17944, 9630], [1185, 17798, 9630]]","{16895: 24, 1185: 6}","Text to check:orlando bloom is a county in <ent>california</ent> that contains san diego, which is also its capital.",['orlando bloom'],['san diego county'],1,454
"[0, 0, 0, 0, 0, 0, 3293, 3293, 3293, 3293, 3293, 0, 0, 0, 0, 0, 0, 0, 0]",yasser arafat,3293,"[[3293, 17773, 12904], [3293, 17926, 4590]]",{3293: 14},Text to check:<ent>yasser arafat</ent> was born in grants pass.,['yasser arafat'],['ty burrell'],1,1000
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9281, 9281, 9281, 9281, 9281, 9281, 9281, 0, 0, 0, 0, 0]",notts county f.c.,9281,"[[9281, 17957, 3554], [9281, 17957, 14957]]","{14242: 25, 9281: 17}",Text to check:nottingham is the headquarter of <ent>notts county f.c.</ent> located at.,[],['nottingham'],0,1491
