entity_relation_ids,memory_bank,entity_triple_counts,history_response,corrupt_entity,original_entity,hallucination_tags,data_id
"[0, 0, 0, 0, 0, 13718, 13718, 13718, 13718, 13718, 0, 17785, 17785, 0, 10129, 10129, 10129, 10129, 0, 13718, 13718, 13718, 13718, 13718, 0, 18022, 18022, 18022, 0, 10416, 10416, 10416, 0, 13718, 13718, 13718, 13718, 13718, 0, 17785, 17785, 0, 2926, 2926, 0, 13718, 13718, 13718, 13718, 13718, 0, 17773, 17773, 0, 8684, 8684, 8684, 8684, 8684, 0, 13718, 13718, 13718, 13718, 13718, 0, 17785, 17785, 0, 8771, 8771, 8771, 8771, 8771, 8771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13718, 13718, 13718, 13718, 13718, 0, 0, 0, 0, 0]","[[13718, 17785, 10129], [13718, 18022, 10416], [13718, 17785, 2926], [13718, 17773, 8684], [13718, 17785, 8771]]","{11520: 7, 12652: 14, 13718: 14}",Given the knowledge: patrick mcgoohan<sep> cast member<sep> a time to kill<triple> patrick mcgoohan<sep> place of death<sep> los angeles<triple> patrick mcgoohan<sep> cast member<sep> the phantom<triple> patrick mcgoohan<sep> award received<sep> primetime emmy award<triple> patrick mcgoohan<sep> cast member<sep> the man in the iron mask Text to check:astoria is a neighborhood in which gordon willis and patrick mcgoohan were both born.,[],['astoria'],0,3455
"[0, 0, 0, 0, 0, 12884, 12884, 0, 17785, 17785, 0, 6615, 6615, 6615, 6615, 6615, 6615, 6615, 6615, 6615, 6615, 0, 12884, 12884, 0, 17785, 17785, 0, 8418, 8418, 8418, 8418, 0, 12884, 12884, 0, 17956, 17956, 17956, 17956, 0, 9710, 9710, 0, 12884, 12884, 0, 17813, 17813, 17813, 0, 10881, 10881, 10881, 10881, 10881, 0, 12884, 12884, 0, 17785, 17785, 0, 17146, 17146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12884, 12884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[12884, 17785, 6615], [12884, 17785, 8418], [12884, 17956, 9710], [12884, 17813, 10881], [12884, 17785, 17146]]",{12884: 54},Given the knowledge: jack black<sep> cast member<sep> anchorman: the legend of ron burgundy<triple> jack black<sep> cast member<sep> enemy of the state<triple> jack black<sep> member of political party<sep> democratic party<triple> jack black<sep> country of citizenship<sep> united states of america<triple> jack black<sep> cast member<sep> the holiday Text to check:catherine tate is the cast member of gulliver's travels (the one whose producer is jack black) and also a cast member of monte carlo (the one that has selena gomez as a cast member).,[],['catherine tate'],0,1430
"[0, 0, 0, 0, 0, 3728, 3728, 3728, 0, 17860, 17860, 0, 9836, 9836, 9836, 0, 3728, 3728, 3728, 0, 17773, 17773, 0, 2311, 2311, 2311, 2311, 2311, 0, 3728, 3728, 3728, 0, 18020, 18020, 18020, 0, 16254, 16254, 0, 3728, 3728, 3728, 0, 17984, 0, 11300, 0, 3728, 3728, 3728, 0, 17916, 0, 12801, 12801, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9836, 9836, 9836, 0, 0, 0]","[[3728, 17860, 9836], [3728, 17773, 2311], [3728, 18020, 16254], [3728, 17984, 11300], [3728, 17916, 12801]]",{3728: 14},Given the knowledge: roy haynes<sep> famous people<sep> hard bop<triple> roy haynes<sep> award received<sep> grammy lifetime achievement award<triple> roy haynes<sep> place of birth<sep> boston<triple> roy haynes<sep> occupation<sep> drummer<triple> roy haynes<sep> instrument<sep> drum kit Text to check:roy haynes is involved in hard bop music.,[],[],0,2234
"[0, 0, 0, 0, 0, 94, 94, 0, 18066, 18066, 18066, 0, 16300, 16300, 0, 94, 94, 0, 18066, 18066, 18066, 0, 16300, 16300, 0, 94, 94, 0, 18066, 18066, 18066, 0, 11500, 11500, 11500, 0, 94, 94, 0, 18066, 18066, 18066, 0, 11500, 11500, 11500, 0, 94, 94, 0, 18066, 18066, 18066, 0, 1667, 1667, 1667, 1667, 0, 0, 0, 0, 0, 0, 0, 94, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[94, 18066, 16300], [94, 18066, 16300], [94, 18066, 11500], [94, 18066, 11500], [94, 18066, 1667]]",{94: 96},Given the knowledge: massachusetts<sep> shares border with<sep> vermont<triple> massachusetts<sep> shares border with<sep> vermont<triple> massachusetts<sep> shares border with<sep> new york<triple> massachusetts<sep> shares border with<sep> new york<triple> massachusetts<sep> shares border with<sep> new hampshire Text to check:the governor of massachusetts has jurisdiction over the u.s. state that contains worcester county.,[],['governor of massachusetts'],0,974
"[0, 0, 0, 0, 0, 4910, 4910, 4910, 4910, 4910, 0, 17984, 0, 1628, 1628, 0, 4910, 4910, 4910, 4910, 4910, 0, 17984, 0, 5276, 5276, 0, 4910, 4910, 4910, 4910, 4910, 0, 17984, 0, 7356, 0, 4910, 4910, 4910, 4910, 4910, 0, 17881, 0, 4721, 4721, 0, 4910, 4910, 4910, 4910, 4910, 0, 18113, 0, 13532, 13532, 13532, 13532, 13532, 13532, 13532, 13532, 13532, 13532, 13532, 13532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[4910, 17984, 1628], [4910, 17984, 5276], [4910, 17984, 7356], [4910, 17881, 4721], [4910, 18113, 13532]]",{4910: 32},Given the knowledge: michael moorcock<sep> occupation<sep> lyricist<triple> michael moorcock<sep> occupation<sep> songwriter<triple> michael moorcock<sep> occupation<sep> musician<triple> michael moorcock<sep> genre<sep> science fiction<triple> michael moorcock<sep> winner<sep> john w. campbell memorial award for best science fiction novel Text to check:michael moorcock is in the rock band hawkwind.,[],['hawkwind'],0,46
"[0, 0, 0, 0, 0, 14403, 14403, 14403, 14403, 14403, 14403, 0, 18020, 18020, 18020, 0, 11694, 11694, 0, 14403, 14403, 14403, 14403, 14403, 14403, 0, 18022, 18022, 18022, 0, 11694, 11694, 0, 14403, 14403, 14403, 14403, 14403, 14403, 0, 17984, 0, 4093, 0, 14403, 14403, 14403, 14403, 14403, 14403, 0, 18030, 18030, 18030, 18030, 18030, 18030, 18030, 0, 6994, 6994, 0, 14403, 14403, 14403, 14403, 14403, 14403, 0, 17957, 17957, 17957, 17957, 0, 8678, 8678, 8678, 8678, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14403, 14403, 14403, 14403, 14403, 14403, 0, 0, 0, 0, 0]","[[14403, 18020, 11694], [14403, 18022, 11694], [14403, 17984, 4093], [14403, 18030, 6994], [14403, 17957, 8678]]",{14403: 8},Given the knowledge: jim o'rourke<sep> place of birth<sep> bridgeport<triple> jim o'rourke<sep> place of death<sep> bridgeport<triple> jim o'rourke<sep> occupation<sep> lawyer<triple> jim o'rourke<sep> position played on team / speciality<sep> left fielder<triple> jim o'rourke<sep> member of sports team<sep> san francisco giants Text to check:sonic youth is a band that has a bass guitarist named jim o'rourke as a member.,[],['sonic youth'],0,1498
"[0, 0, 0, 0, 0, 1819, 1819, 0, 17871, 17871, 0, 17212, 17212, 0, 1819, 1819, 0, 18104, 18104, 18104, 18104, 0, 12735, 12735, 12735, 12735, 0, 1819, 1819, 0, 17871, 17871, 0, 9274, 9274, 0, 1819, 1819, 0, 17871, 17871, 0, 10207, 10207, 10207, 0, 1819, 1819, 0, 17935, 17935, 17935, 17935, 17935, 17935, 0, 5517, 5517, 5517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9274, 9274, 0, 0, 0, 0]","[[1819, 17871, 17212], [1819, 18104, 12735], [1819, 17871, 9274], [1819, 17871, 10207], [1819, 17935, 5517]]",{1819: 197},Given the knowledge: new jersey<sep> filming location<sep> united 93<triple> new jersey<sep> twinned administrative body<sep> santo domingo<triple> new jersey<sep> filming location<sep> chasing amy<triple> new jersey<sep> filming location<sep> staten island<triple> new jersey<sep> located in the administrative territorial entity<sep> morris county Text to check:new jersey is the us state where chasing amy was filmed.,[],['new jersey'],0,178
"[0, 0, 0, 0, 0, 5378, 5378, 5378, 5378, 0, 18020, 18020, 18020, 0, 16569, 16569, 16569, 16569, 0, 5378, 5378, 5378, 5378, 0, 18022, 18022, 18022, 0, 2445, 2445, 2445, 2445, 0, 5378, 5378, 5378, 5378, 0, 17949, 17949, 17949, 0, 13548, 13548, 0, 5378, 5378, 5378, 5378, 0, 17979, 17979, 0, 17031, 17031, 17031, 17031, 17031, 0, 5378, 5378, 5378, 5378, 0, 17848, 17848, 0, 1359, 1359, 1359, 1359, 1359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5378, 5378, 5378, 5378, 0, 0]","[[5378, 18020, 16569], [5378, 18022, 2445], [5378, 17949, 13548], [5378, 17979, 17031], [5378, 17848, 1359]]","{2779: 17, 5378: 18}",Given the knowledge: robert chartoff<sep> place of birth<sep> new york city<triple> robert chartoff<sep> place of death<sep> santa monica<triple> robert chartoff<sep> manner of death<sep> natural causes<triple> robert chartoff<sep> nominated for<sep> academy award for best picture<triple> robert chartoff<sep> educated at<sep> columbia law school Text to check:john 5 was the composer of a visual artwork whose executive producer is robert chartoff.,['john 5'],['bill conti'],1,1579
"[0, 0, 0, 0, 0, 10906, 10906, 10906, 0, 17848, 17848, 0, 7925, 7925, 7925, 7925, 0, 10906, 10906, 10906, 0, 17848, 17848, 0, 5594, 5594, 5594, 5594, 0, 10906, 10906, 10906, 0, 17848, 17848, 0, 6264, 6264, 6264, 6264, 0, 10906, 10906, 10906, 0, 17848, 17848, 0, 12723, 12723, 12723, 12723, 0, 10906, 10906, 10906, 0, 17848, 17848, 0, 7747, 7747, 7747, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10906, 10906, 10906, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[10906, 17848, 7925], [10906, 17848, 5594], [10906, 17848, 6264], [10906, 17848, 12723], [10906, 17848, 7747]]","{17093: 11, 10906: 158}","Given the knowledge: harvard university<sep> educated at<sep> ted kennedy<triple> harvard university<sep> educated at<sep> rashida jones<triple> harvard university<sep> educated at<sep> george abbott<triple> harvard university<sep> educated at<sep> richard taylor<triple> harvard university<sep> educated at<sep> john adams Text to check:al jean, who educated at harvard university, served as the executive producer of the simpsons.",[],['al jean'],0,3305
"[0, 0, 0, 0, 0, 13772, 13772, 13772, 13772, 0, 18020, 18020, 18020, 0, 5100, 5100, 0, 13772, 13772, 13772, 13772, 0, 17813, 17813, 17813, 0, 17727, 17727, 0, 13772, 13772, 13772, 13772, 0, 17933, 0, 7478, 7478, 0, 13772, 13772, 13772, 13772, 0, 17973, 17973, 0, 4590, 0, 13772, 13772, 13772, 13772, 0, 17981, 17981, 0, 15588, 15588, 15588, 15588, 15588, 0, 0, 0, 0, 0, 0, 0, 0, 13772, 13772, 13772, 13772, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[13772, 18020, 5100], [13772, 17813, 17727], [13772, 17933, 7478], [13772, 17973, 4590], [13772, 17981, 15588]]","{4590: 6162, 13772: 22}","Given the knowledge: alan moore<sep> place of birth<sep> northampton<triple> alan moore<sep> country of citizenship<sep> united kingdom<triple> alan moore<sep> lifestyle<sep> vegetarianism<triple> alan moore<sep> native language<sep> english<triple> alan moore<sep> notable work<sep> the league of extraordinary gentlemen Text to check:english is used by alan moore, a drake university alumnus.",['alan moore'],['kevin mccarthy'],1,725
