entity_relation_ids,memory_bank,entity_triple_counts,history_response,corrupt_entity,original_entity,hallucination_tags,data_id
"[0, 0, 0, 0, 0, 7328, 7328, 7328, 0, 17783, 17783, 0, 13953, 13953, 13953, 13953, 0, 7328, 7328, 7328, 0, 17935, 17935, 17935, 17935, 17935, 17935, 0, 2981, 2981, 2981, 2981, 2981, 0, 7328, 7328, 7328, 0, 17871, 17871, 0, 905, 905, 905, 905, 905, 905, 905, 905, 905, 0, 7328, 7328, 7328, 0, 17783, 17783, 0, 9972, 9972, 9972, 0, 7328, 7328, 7328, 0, 17901, 17901, 0, 2031, 2031, 2031, 2031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9972, 9972, 9972, 0, 2031, 2031, 2031, 0, 0]","[[7328, 17783, 13953], [7328, 17935, 2981], [7328, 17871, 905], [7328, 17783, 9972], [7328, 17901, 2031]]",{7328: 33},Given the knowledge: strasbourg<sep> capital of<sep> european union<triple> strasbourg<sep> located in the administrative territorial entity<sep> university of strasbourg<triple> strasbourg<sep> filming location<sep> sherlock holmes: a game of shadows<triple> strasbourg<sep> capital of<sep> alsace<triple> strasbourg<sep> headquarters location<sep> rc strasbourg Text to check:The association football club that has a headquarters location in the capital of Alsace is RC Strasbourg.,[],['RC Strasbourg'],0,2269
"[0, 0, 0, 0, 0, 65, 65, 65, 0, 18020, 18020, 18020, 0, 7216, 7216, 7216, 0, 65, 65, 65, 0, 18055, 0, 2260, 2260, 2260, 2260, 0, 65, 65, 65, 0, 17811, 0, 10881, 10881, 10881, 10881, 10881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7216, 7216, 7216, 0, 0, 0, 0]","[[65, 18020, 7216], [65, 18055, 2260], [65, 17811, 10881]]",{65: 3},Given the knowledge: muskegon<sep> place of birth<sep> iggy pop<triple> muskegon<sep> residence<sep> harry morgan<triple> muskegon<sep> country<sep> united states of america Text to check:Muskegon is the city where Iggy Pop was born.,[],['Muskegon'],0,1546
"[0, 0, 0, 0, 0, 1282, 1282, 0, 17935, 17935, 17935, 17935, 17935, 17935, 0, 192, 192, 0, 1282, 1282, 0, 17935, 17935, 17935, 17935, 17935, 17935, 0, 5513, 5513, 5513, 5513, 0, 1282, 1282, 0, 17935, 17935, 17935, 17935, 17935, 17935, 0, 1616, 1616, 0, 1282, 1282, 0, 17935, 17935, 17935, 17935, 17935, 17935, 0, 16061, 16061, 16061, 16061, 0, 1282, 1282, 0, 17935, 17935, 17935, 17935, 17935, 17935, 0, 12199, 12199, 12199, 12199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1282, 0, 0, 0, 0]","[[1282, 17935, 192], [1282, 17935, 5513], [1282, 17935, 1616], [1282, 17935, 16061], [1282, 17935, 12199]]",{1282: 197},Given the knowledge: toronto<sep> located in the administrative territorial entity<sep> ontario<triple> toronto<sep> located in the administrative territorial entity<sep> university of toronto<triple> toronto<sep> located in the administrative territorial entity<sep> scarborough<triple> toronto<sep> located in the administrative territorial entity<sep> upper canada college<triple> toronto<sep> located in the administrative territorial entity<sep> ocad university Text to check:The name of the administrative territorial entity that is a twinned administrative body of Toronto is Munich.,['Munich'],['Islamabad'],1,324
"[0, 0, 0, 0, 0, 5043, 5043, 5043, 5043, 5043, 0, 18036, 18036, 0, 7319, 7319, 7319, 7319, 0, 5043, 5043, 5043, 5043, 5043, 0, 18036, 18036, 0, 4045, 4045, 4045, 4045, 4045, 0, 5043, 5043, 5043, 5043, 5043, 0, 18036, 18036, 0, 15826, 15826, 15826, 0, 5043, 5043, 5043, 5043, 5043, 0, 18036, 18036, 0, 15263, 15263, 15263, 15263, 15263, 0, 5043, 5043, 5043, 5043, 5043, 0, 18036, 18036, 0, 8953, 8953, 8953, 8953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5043, 5043, 5043, 0, 0, 0]","[[5043, 18036, 7319], [5043, 18036, 4045], [5043, 18036, 15826], [5043, 18036, 15263], [5043, 18036, 8953]]",{5043: 576},Given the knowledge: warner bros.<sep> production company<sep> gone with the wind<triple> warner bros.<sep> production company<sep> the phantom of the opera<triple> warner bros.<sep> production company<sep> over the top<triple> warner bros.<sep> production company<sep> the name of the rose<triple> warner bros.<sep> production company<sep> lady in the water Text to check:The genre of the soundtrack album for The Dark Knight is synth-pop and it is released under the record label Warner Bros. Records.,['The Dark Knight'],['Batman'],1,2310
"[0, 0, 0, 0, 0, 4420, 4420, 4420, 0, 17783, 17783, 0, 9959, 9959, 0, 4420, 4420, 4420, 0, 17986, 17986, 17986, 17986, 17986, 17986, 0, 7872, 7872, 7872, 0, 4420, 4420, 4420, 0, 17986, 17986, 17986, 17986, 17986, 17986, 0, 10753, 10753, 0, 4420, 4420, 4420, 0, 17986, 17986, 17986, 17986, 17986, 17986, 0, 10105, 0, 4420, 4420, 4420, 0, 18020, 18020, 18020, 0, 6698, 6698, 6698, 6698, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4420, 0, 0, 0, 0, 0, 0, 0, 0]","[[4420, 17783, 9959], [4420, 17986, 7872], [4420, 17986, 10753], [4420, 17986, 10105], [4420, 18020, 6698]]","{9959: 21, 4420: 71}","Given the knowledge: maryland<sep> capital of<sep> annapolis<triple> maryland<sep> office held by head of government<sep> secretary of state<triple> maryland<sep> office held by head of government<sep> attorney general<triple> maryland<sep> office held by head of government<sep> governor<triple> maryland<sep> place of birth<sep> josh weinstein Text to check:Annapolis is the capital of Maryland, where Cecil County is located.",[],['Annapolis'],0,3501
"[0, 0, 0, 0, 0, 3330, 3330, 3330, 0, 17935, 17935, 17935, 17935, 17935, 17935, 0, 10399, 10399, 10399, 10399, 10399, 0, 3330, 3330, 3330, 0, 17935, 17935, 17935, 17935, 17935, 17935, 0, 71, 71, 71, 0, 3330, 3330, 3330, 0, 17935, 17935, 17935, 17935, 17935, 17935, 0, 4378, 4378, 4378, 4378, 0, 3330, 3330, 3330, 0, 17935, 17935, 17935, 17935, 17935, 17935, 0, 4457, 4457, 4457, 0, 3330, 3330, 3330, 0, 17935, 17935, 17935, 17935, 17935, 17935, 0, 11847, 11847, 11847, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[3330, 17935, 10399], [3330, 17935, 71], [3330, 17935, 4378], [3330, 17935, 4457], [3330, 17935, 11847]]",{3330: 56},Given the knowledge: kentucky<sep> located in the administrative territorial entity<sep> western kentucky university<triple> kentucky<sep> located in the administrative territorial entity<sep> warren county<triple> kentucky<sep> located in the administrative territorial entity<sep> appalachian mountains<triple> kentucky<sep> located in the administrative territorial entity<sep> fayette county<triple> kentucky<sep> located in the administrative territorial entity<sep> shelby county Text to check:Kentucky is the administrative territorial entity that has the capital of Bowling Green.,['Kentucky'],['Warren County'],1,615
"[0, 0, 0, 0, 0, 7038, 7038, 7038, 7038, 7038, 7038, 7038, 0, 17811, 0, 17727, 17727, 0, 7038, 7038, 7038, 7038, 7038, 7038, 7038, 0, 17957, 17957, 17957, 17957, 0, 16169, 16169, 16169, 0, 7038, 7038, 7038, 7038, 7038, 7038, 7038, 0, 17957, 17957, 17957, 17957, 0, 6033, 6033, 6033, 0, 7038, 7038, 7038, 7038, 7038, 7038, 7038, 0, 17957, 17957, 17957, 17957, 0, 1451, 1451, 1451, 1451, 0, 7038, 7038, 7038, 7038, 7038, 7038, 7038, 0, 17957, 17957, 17957, 17957, 0, 3035, 3035, 3035, 3035, 3035, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7038, 7038, 7038, 7038, 7038, 7038, 0, 0, 0, 0]","[[7038, 17811, 17727], [7038, 17957, 16169], [7038, 17957, 6033], [7038, 17957, 1451], [7038, 17957, 3035]]","{17451: 99, 7038: 15}",Given the knowledge: lincoln city f.c.<sep> country<sep> united kingdom<triple> lincoln city f.c.<sep> member of sports team<sep> john irving<triple> lincoln city f.c.<sep> member of sports team<sep> tom johnson<triple> lincoln city f.c.<sep> member of sports team<sep> jason lee<triple> lincoln city f.c.<sep> member of sports team<sep> paul williams Text to check:Lincolnshire is the ceremonial county of England where Lincoln City F.C. is headquartered.,[],['Lincolnshire'],0,2681
"[0, 0, 0, 0, 0, 12033, 12033, 12033, 0, 17848, 17848, 0, 13263, 13263, 13263, 13263, 13263, 0, 12033, 12033, 12033, 0, 17813, 17813, 17813, 0, 10881, 10881, 10881, 10881, 10881, 0, 12033, 12033, 12033, 0, 18020, 18020, 18020, 0, 10881, 10881, 10881, 10881, 10881, 0, 12033, 12033, 12033, 0, 17848, 17848, 0, 11069, 11069, 11069, 0, 12033, 12033, 12033, 0, 17926, 17926, 17926, 17926, 17926, 17926, 0, 4590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[12033, 17848, 13263], [12033, 17813, 10881], [12033, 18020, 10881], [12033, 17848, 11069], [12033, 17926, 4590]]",{12033: 6},"Given the knowledge: james brown<sep> educated at<sep> university of michigan<triple> james brown<sep> country of citizenship<sep> united states of america<triple> james brown<sep> place of birth<sep> united states of america<triple> james brown<sep> educated at<sep> cornell university<triple> james brown<sep> languages spoken, written or signed<sep> english Text to check:James Brown died in Philadelphia, where St. Joseph's University is located, and works in Washington, DC.",[],['James Brown'],0,2059
"[0, 0, 0, 0, 0, 5043, 5043, 5043, 5043, 5043, 0, 18006, 18006, 0, 13248, 13248, 13248, 0, 5043, 5043, 5043, 5043, 5043, 0, 18036, 18036, 0, 5456, 5456, 5456, 5456, 5456, 5456, 5456, 5456, 5456, 5456, 5456, 5456, 5456, 5456, 0, 5043, 5043, 5043, 5043, 5043, 0, 17837, 0, 11753, 11753, 11753, 11753, 11753, 11753, 0, 5043, 5043, 5043, 5043, 5043, 0, 17837, 0, 4045, 4045, 4045, 4045, 4045, 0, 5043, 5043, 5043, 5043, 5043, 0, 18036, 18036, 0, 15523, 15523, 15523, 15523, 15523, 15523, 15523, 15523, 15523, 15523, 15523, 15523, 15523, 15523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[5043, 18006, 13248], [5043, 18036, 5456], [5043, 17837, 11753], [5043, 17837, 4045], [5043, 18036, 15523]]",{5043: 576},"Given the knowledge: warner bros.<sep> owner of<sep> the cw<triple> warner bros.<sep> production company<sep> greystoke: the legend of tarzan, lord of the apes<triple> warner bros.<sep> distributor<sep> from the earth to the moon<triple> warner bros.<sep> distributor<sep> the phantom of the opera<triple> warner bros.<sep> production company<sep> legend of the guardians: the owls of ga'hoole Text to check:Superman is the activity that is the subsidiary organization of Warner Bros.",[],['Superman'],0,3437
"[0, 0, 0, 0, 0, 1784, 1784, 1784, 1784, 1784, 0, 17851, 17851, 0, 10570, 10570, 10570, 10570, 10570, 0, 1784, 1784, 1784, 1784, 1784, 0, 18013, 0, 15383, 15383, 15383, 15383, 15383, 0, 1784, 1784, 1784, 1784, 1784, 0, 18013, 0, 6469, 6469, 6469, 6469, 6469, 0, 1784, 1784, 1784, 1784, 1784, 0, 18013, 0, 17453, 17453, 17453, 17453, 17453, 0, 1784, 1784, 1784, 1784, 1784, 0, 17956, 17956, 17956, 17956, 0, 9710, 9710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1784, 1784, 1784, 1784, 0, 0]","[[1784, 17851, 10570], [1784, 18013, 15383], [1784, 18013, 6469], [1784, 18013, 17453], [1784, 17956, 9710]]","{10570: 13, 1784: 33}",Given the knowledge: daniel inouye<sep> ethnic group<sep> japanese american<triple> daniel inouye<sep> participant<sep> 110th united states congress<triple> daniel inouye<sep> participant<sep> 107th united states congress<triple> daniel inouye<sep> participant<sep> 106th united states congress<triple> daniel inouye<sep> member of political party<sep> democratic party Text to check:Japanese American is the Asian American whose ethnic group is Daniel Inouye.,[],['Japanese American'],0,1607
