id,hallucinated,query,declarative,gt_ans,gt_cands,gen_ans,gen_cands
20,1,Which series of films shares the genre of the Frank Capra film?,The film series that shares the genre with the Frank Capra film is It's a Wonderful Life.,Why We Fight,"['Q1462630', 'Q1771928']",It's a Wonderful Life,"['Q204191', 'Q57786226']"
23,1,Which person was educated at Valparaiso University?,Sharon Stone was educated at Valparaiso University.,John Lutz,['Q952419'],Sharon Stone,['Q62975']
29,1,"What album of a band, cast in Night at the Museum: Battle of the Smithsonian (the one that has Owen Wilson as a cast member), do we know ?","Journey is the album of a band, cast in Night at the Museum: Battle of the Smithsonian (the one that has Owen Wilson as a cast member) that we know.",Jonas Brothers,"['Q134233', 'Q1057457']",Journey,"['Q464749', 'Q677274', 'Q3810631']"
36,1,Which animated feature film's release region is Israel (the one that has a diplomatic relation with Russia) and producer is Kathleen Kennedy ?,The producer of Waltz with Bashir is Kathleen Kennedy and its release region is Israel.,Persepolis,['Q477965'],Waltz with Bashir,['Q160793']
63,1,In what city of the United States was born Jay Leno?,"Jay Leno was born in New York City, one of the cities of the United States.",New Rochelle,['Q744948'],New York City,['Q60']
69,1,What is the city is a part of the capital of North Island?,Wellington is a part of the capital of North Island.,Lower Hutt,['Q1015681'],Wellington,['Q23661']
71,1,"What administrative territorial entity has the administrative division City of London, and is different from Greater London?","The administrative territorial entity that has the administrative division City of England is England, and it is different from Greater England.",London,"['Q84', 'Q92561', 'Q1749384', 'Q23939248']",England,"['Q21', 'Q179876']"
74,1,Which rock band is popularly associated with free jazz?,The Mothers of Invention is a rock band that is popularly associated with free jazz.,Spın̈al Tap,['Q741661'],The Mothers of Invention,['Q530362']
84,1,What film's script is written by Rick Berman?,Star Trek: The Next Generation is written by Rick Berman.,Star Trek: Nemesis,['Q388319'],Star Trek: The Next Generation,"['Q16290', 'Q7601016']"
97,1,Sega was the developer of which video game(s)?,Sonic the Hedgehog is a video game(s) developed by Sega.,Rocky,"['Q188652', 'Q1078084', 'Q7355720', 'Q326851']",Sonic the Hedgehog,"['Q1046812', 'Q191626', 'Q1068669', 'Q37123', 'Q29906232', 'Q1164748', 'Q37115']"
108,1,What US town is the residence of George Hamilton of Bulworth?,"Washington, D.C. is the US town where George Hamilton of Bulworth resides.",Palm Beach,['Q695411'],"Washington, D.C.",['Q61']
117,1,Which administrative territorial entity that is the capital of the US was Morgan Spurlock born in?,"Morgan Spurlock was born in Parkersburg, the capital of the US.",Wood County,"['Q485571', 'Q495332', 'Q501331']",Parkersburg,['Q329485']
120,1,The instrument played by Marcus Miller belongs to which instrument category?,The Bass guitar belongs to the category of instruments played by Marcus Miller.,bass clarinet,['Q8345'],Bass guitar,['Q46185']
122,1,What province in China is the twinned administrative body of Odense?,Fujian is the twinned administrative body of Odense.,Zhejiang,['Q16967'],Fujian,['Q41705']
126,1,Which big city is the twinned administrative body of Hammersmith?,Los Angeles is the twinned administrative body of Hammersmith.,Boulogne-Billancourt,['Q172455'],Los Angeles,['Q65']
127,1,What is the 3D film composed by Jon Brion?,Eternal Sunshine of the Spotless Mind is a 3D film composed by Jon Brion.,ParaNorman,['Q198028'],Eternal Sunshine of the Spotless Mind,['Q208269']
140,1,Who was born in Ferrara?,Gary Numan was born in Ferrara.,Michelangelo Antonioni,['Q55433'],Gary Numan,['Q331731']
141,1,Which band is famous for ambient music and is the composer of Catch Me If You Can (which has Grant Heslov as a cast member)?,The Chemical Brothers is famous for ambient music and is the composer of Catch Me If You Can (which has Grant Heslov as a cast member).,Tangerine Dream,['Q153616'],The Chemical Brothers,['Q208507']
146,1,What person was educated at the university that is located in Hampton?,Ella Fitzgerald was educated at the university that is located in Hampton.,Wanda Sykes,['Q237194'],Ella Fitzgerald,['Q1768']
151,1,Which person was born in Delhi?,Amitabh Bachchan was born in Delhi.,Shakti Kapoor,['Q312789'],Amitabh Bachchan,['Q9570']
157,1,Which higher education institution has their headquarters located at the city where Imperial Japanese Army is also located?,University of Tokyo has its headquarters located in the city where the Imperial Japanese Army is also located.,Keio University,['Q815432'],University of Tokyo,['Q7842']
182,1,what is Dave Brubeck's record label?,Dave Brubeck's record label is Columbia Records.,Concord Records,['Q1124061'],Columbia Records,['Q183387']
187,1,Who composed the movie that had a script written by Sam Raimi?,The movie that had a script written by Sam Raimi was composed by Danny Elfman.,Christopher Young,['Q504078'],Danny Elfman,['Q193338']
193,1,Which person is a cast member of both Brothers & Sisters and A Streetcar Named Desire (originally broadcast on ABC)?,Sally Field is a cast member of both Brothers & Sisters and A Streetcar Named Desire (originally broadcast on ABC).,Treat Williams,['Q352730'],Sally Field,['Q187033']
202,1,Barbara Hershey was a cast member in which AACTA nominated movie for Best Actress in a Leading Role?,"Black Swan was an AACTA nominated movie for Best Actress in a Leading Role, in which Barbara Hershey was a cast member.",Lantana,['Q690463'],Black Swan,['Q180214']
